product_id,category,sub_category,product_name,sales,quantity,discount,profit,shipping_cost
OFF-AR-10000019,Office Supplies,Art,"BIC Highlighters, Blue",37.86,3,0.0,15.48,1.56
OFF-NOV-10003180,Office Supplies,Labels,"Novimex Legal Exhibit Labels, Adjustable",8.37,1,0.0,0.57,0.48
OFF-CAM-10001141,Office Supplies,Envelopes,"Cameo Manila Envelope, Security-Tint",58.8,2,0.0,28.8,10.53
OFF-PA-10001653,Office Supplies,Paper,"Green Bar Memo Slips, Multicolor",18.36,2,0.5,-13.26,0.04
FUR-CH-10004196,Furniture,Chairs,"Novimex Swivel Stool, Red",296.028,2,0.1,49.308,30.62
TEC-CAN-10004697,Technology,Copiers,"Canon Fax and Copier, Digital",76.392,1,0.6,-93.588,4.77
FUR-TA-10002645,Furniture,Tables,Hon Rectangular Conference Tables,796.425,7,0.5,-525.6405,110.67
OFF-AR-10000176,Office Supplies,Art,"Sanford Highlighters, Water Color",37.86,2,0.0,13.62,3.08
TEC-AC-10001100,Technology,Accessories,"Logitech Router, Bluetooth",865.62,7,0.5,-727.23,46.9
OFF-AR-10004648,Office Supplies,Art,Boston 19500 Mighty Mite Electric Pencil Sharpener,60.45,3,0.0,16.3215,8.74
TEC-AC-10004054,Technology,Accessories,"Memorex Memory Card, Erganomic",200.16,2,0.0,36.0,18.7
OFF-FA-10003892,Office Supplies,Fasteners,"OIC Push Pins, 12 Pack",66.92,7,0.0,15.26,1.83
TEC-CIS-10002565,Technology,Phones,"Cisco Speaker Phone, Full Size",279.54,2,0.0,95.04,18.0
OFF-EN-10001755,Office Supplies,Envelopes,"Ames Interoffice Envelope, Set of 50",18.048,1,0.4,-2.112,7.29
OFF-ST-10003800,Office Supplies,Storage,"Rogers Folders, Wire Frame",59.52,5,0.4,-7.98,12.19
OFF-ACC-10002327,Office Supplies,Fasteners,"Accos Thumb Tacks, Metal",4.14,1,0.7,-7.05,0.83
OFF-ST-10003295,Office Supplies,Storage,"Tenex Lockers, Blue",224.565,2,0.45,-77.595,11.89
OFF-FA-10002831,Office Supplies,Fasteners,"OIC Staples, Assorted Sizes",4.688,2,0.6,-1.912,0.22
FUR-TA-10000038,Furniture,Tables,"Chromcraft Conference Table, Adjustable Height",1837.206,3,0.3,183.636,107.98
OFF-LA-10000483,Office Supplies,Labels,"Harbour Creations Shipping Labels, Alphabetical",13.536,2,0.4,1.536,2.61
FUR-BO-10004709,Furniture,Bookcases,"Bush Westfield Collection Bookcases, Medium Cherry Finish",344.981,7,0.15,28.4102,78.44
OFF-BI-10004666,Office Supplies,Binders,"Wilson Jones Binding Machine, Durable",45.414,1,0.1,17.634,3.84
TEC-BEL-10003896,Technology,Accessories,"Belkin Mouse, Erganomic",231.12,6,0.0,39.24,14.1
TEC-MA-10003330,Technology,Machines,"Panasonic Receipt Printer, Wireless",301.041,3,0.17,-39.969,17.61
OFF-BI-10003320,Office Supplies,Binders,"Cardinal Hole Reinforcements, Recycled",51.3,9,0.0,21.33,5.73
OFF-ENE-10001906,Office Supplies,Paper,"Enermax Message Books, Recycled",22.41,1,0.0,9.84,4.06
FUR-TEN-10003923,Furniture,Furnishings,"Tenex Door Stop, Duo Pack",43.95,1,0.0,19.77,1.6
OFF-PA-10001576,Office Supplies,Paper,"Eaton Memo Slips, Multicolor",54.54,9,0.4,-27.36,14.37
FUR-CH-10003841,Furniture,Chairs,"Harbour Creations Swivel Stool, Black",259.4274,2,0.27,74.6274,29.44
TEC-MA-10003936,Technology,Machines,"Epson Printer, White",348.04,2,0.0,149.64,46.39
OFF-ST-10002515,Office Supplies,Storage,"Eldon Lockers, Wire Frame",236.376,2,0.4,11.796,27.48
FUR-LES-10000904,Furniture,Tables,"Lesro Training Table, with Bottom Storage",537.6,2,0.0,91.38,19.93
TEC-PH-10002726,Technology,Phones,netTALK DUO VoIP Telephone Service,167.968,4,0.2,62.988,12.88
FUR-CH-10001397,Furniture,Chairs,"SAFCO Chairmat, Set of Two",90.6222,2,0.27,9.9222,5.5
OFF-BI-10003098,Office Supplies,Binders,"Ibico Binding Machine, Economy",42.6786,1,0.17,11.2986,7.87
OFF-ST-10003953,Office Supplies,Storage,"Smead File Cart, Industrial",642.0,5,0.0,179.7,59.03
OFF-EN-10002406,Office Supplies,Envelopes,"Kraft Business Envelopes, Recycled",131.88,7,0.0,64.47,6.06
OFF-LA-10000897,Office Supplies,Labels,"Avery Round Labels, Laser Printer Compatible",4.76,1,0.0,2.18,0.54
FUR-BO-10003499,Furniture,Bookcases,"Ikea Library with Doors, Pine",291.792,2,0.4,-165.368,23.78
FUR-HON-10003653,Furniture,Chairs,"Hon Steel Folding Chair, Black",78.99,1,0.0,23.67,4.24
OFF-AR-10002499,Office Supplies,Art,"Binney & Smith Pencil Sharpener, Easy-Erase",33.516,3,0.4,3.336,1.73
OFF-SU-10003629,Office Supplies,Supplies,"Fiskars Ruler, Steel",41.49,3,0.0,6.57,4.57
OFF-PA-10003899,Office Supplies,Paper,"SanDisk Memo Slips, Premium",50.94,3,0.0,17.28,12.95
FUR-FU-10003862,Furniture,Furnishings,"Advantus Photo Frame, Black",264.9,5,0.0,2.55,22.46
FUR-BO-10004690,Furniture,Bookcases,O'Sullivan Cherrywood Estates Traditional Barrister Bookcase,384.944,4,0.3,-126.4816,50.85
OFF-BI-10001397,Office Supplies,Binders,"Ibico Binder, Economy",30.96,2,0.0,7.74,4.4
OFF-ST-10004258,Office Supplies,Storage,Portable Personal File Box,48.84,4,0.0,13.1868,3.81
TEC-BEL-10002678,Technology,Accessories,"Belkin Memory Card, Erganomic",67.572,2,0.7,-45.048,8.96
OFF-PA-10000605,Office Supplies,Paper,Xerox 1950,9.248,2,0.2,3.3524,1.06
OFF-FA-10000838,Office Supplies,Fasteners,"Stockwell Push Pins, Assorted Sizes",17.73,3,0.5,-17.46,1.4
OFF-HOO-10000335,Office Supplies,Appliances,"Hoover Microwave, White",184.068,2,0.7,-263.832,43.03
TEC-PH-10003303,Technology,Phones,"Cisco Office Telephone, Cordless",99.972,2,0.4,-26.688,11.46
TEC-PH-10000026,Technology,Phones,"Nokia Office Telephone, Cordless",67.98,2,0.5,-55.8,10.48
FUR-RUB-10003699,Furniture,Furnishings,"Rubbermaid Light Bulb, Duo Pack",37.8,2,0.0,6.0,6.59
OFF-PA-10002966,Office Supplies,Paper,"SanDisk Cards & Envelopes, Recycled",289.98,9,0.0,52.02,20.18
TEC-MA-10001727,Technology,Machines,"Konica Receipt Printer, Wireless",855.75,7,0.0,68.46,49.05
OFF-PA-10000450,Office Supplies,Paper,"Green Bar Note Cards, Multicolor",135.72,4,0.0,55.56,12.95
FUR-CH-10000988,Furniture,Chairs,Hon Olson Stacker Stools,563.24,5,0.2,56.324,58.32
TEC-CO-10004306,Technology,Copiers,"HP Copy Machine, Color",289.30044,3,0.402,-102.61956,23.08
TEC-PH-10002491,Technology,Phones,"Samsung Office Telephone, Cordless",204.21,3,0.0,30.6,16.6
OFF-EN-10002186,Office Supplies,Envelopes,"Kraft Manila Envelope, Set of 50",52.98,3,0.0,5.28,8.31
OFF-AR-10002833,Office Supplies,Art,Newell 322,4.368,3,0.2,0.3822,0.55
OFF-LA-10004007,Office Supplies,Labels,"Harbour Creations Color Coded Labels, Adjustable",32.4,3,0.0,4.5,2.4
OFF-BI-10003350,Office Supplies,Binders,Acco Expandable Hanging Binders,12.76,2,0.0,5.8696,0.99
FUR-TA-10001433,Furniture,Tables,"Bevis Round Table, with Bottom Storage",274.6407,1,0.47,-207.2793,10.47
TEC-AC-10004704,Technology,Accessories,"SanDisk Numeric Keypad, USB",95.688,2,0.1,20.148,8.22
FUR-CH-10000694,Furniture,Chairs,"Novimex Steel Folding Chair, Red",185.0175,3,0.25,-7.4025,20.68
TEC-SHA-10000244,Technology,Copiers,"Sharp Fax Machine, Laser",295.65,1,0.0,26.58,25.66
OFF-LA-10004709,Office Supplies,Labels,"Avery Round Labels, Laser Printer Compatible",12.852,2,0.1,2.112,1.24
FUR-TA-10004524,Furniture,Tables,"Bevis Round Table, with Bottom Storage",1399.113,3,0.1,108.783,230.35
OFF-LA-10000553,Office Supplies,Labels,"Hon Round Labels, Laser Printer Compatible",26.64,4,0.0,10.92,1.52
TEC-CO-10002796,Technology,Copiers,"Canon Wireless Fax, Color",1292.34,4,0.15,-136.86,133.86
OFF-AR-10004042,Office Supplies,Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",86.304,6,0.2,9.7092,8.88
TEC-PH-10000960,Technology,Phones,"Samsung Headset, with Caller ID",292.8,6,0.0,46.8,31.66
TEC-AC-10004557,Technology,Accessories,"Logitech Mouse, USB",206.43,7,0.0,26.67,34.21
TEC-CO-10004169,Technology,Copiers,"HP Ink, Digital",898.38,7,0.0,116.76,122.94
TEC-SAN-10000142,Technology,Accessories,"SanDisk Mouse, Erganomic",14.448,1,0.6,-14.472,3.13
OFF-PA-10004243,Office Supplies,Paper,Xerox 1939,56.91,3,0.0,27.3168,3.95
TEC-PH-10003945,Technology,Phones,"Nokia Audio Dock, VoIP",333.66,3,0.0,3.3,43.82
OFF-AR-10001898,Office Supplies,Art,"Binney & Smith Pencil Sharpener, Fluorescent",133.35,5,0.0,5.25,14.2
OFF-FA-10001561,Office Supplies,Fasteners,Stockwell Push Pins,10.464,6,0.2,1.7004,1.11
TEC-AC-10000639,Technology,Accessories,"Belkin Router, Bluetooth",776.25,3,0.0,225.09,170.99
FUR-CH-10001802,Furniture,Chairs,"Novimex Rocking Chair, Black",516.0,8,0.5,-392.16,91.67
OFF-AR-10001192,Office Supplies,Art,"Binney & Smith Canvas, Fluorescent",140.32,4,0.0,50.48,24.03
OFF-EN-10004051,Office Supplies,Envelopes,"Ames Manila Envelope, Set of 50",74.07,3,0.0,5.85,5.75
TEC-CO-10000447,Technology,Copiers,"Canon Wireless Fax, Color",1482.39,6,0.35,68.31,290.69
OFF-SU-10004872,Office Supplies,Supplies,"Elite Letter Opener, Easy Grip",115.68,4,0.0,30.0,10.38
FUR-CH-10003965,Furniture,Chairs,"Hon Rocking Chair, Red",685.755,7,0.25,127.995,39.6
FUR-CH-10003817,Furniture,Chairs,"Global Value Steno Chair, Gray",170.072,4,0.3,-12.148,14.82
OFF-LA-10004312,Office Supplies,Labels,"Hon File Folder Labels, Laser Printer Compatible",13.824,4,0.4,-9.216,1.03
FUR-CH-10000603,Furniture,Chairs,"Hon Bag Chairs, Red",316.05,7,0.0,104.16,66.81
TEC-AC-10001013,Technology,Accessories,"SanDisk Mouse, USB",77.04,3,0.0,9.24,7.99
OFF-LA-10002258,Office Supplies,Labels,"Smead File Folder Labels, Adjustable",9.04,2,0.0,2.24,2.45
OFF-EN-10001136,Office Supplies,Envelopes,"Kraft Interoffice Envelope, Recycled",137.16,3,0.0,26.01,15.89
FUR-HAR-10004726,Furniture,Chairs,"Harbour Creations Steel Folding Chair, Adjustable",40.152,1,0.6,-26.118,1.4
OFF-PA-10001800,Office Supplies,Paper,Xerox 220,19.44,3,0.0,9.3312,5.01
OFF-CAR-10002054,Office Supplies,Binders,"Cardinal Hole Reinforcements, Economy",74.76,14,0.0,30.24,4.9
OFF-IBI-10003191,Office Supplies,Binders,"Ibico 3-Hole Punch, Durable",25.56,2,0.6,-14.7,1.47
OFF-BIC-10004826,Office Supplies,Art,"BIC Canvas, Easy-Erase",21.588,1,0.6,-14.052,2.9
OFF-AP-10000873,Office Supplies,Appliances,"Hamilton Beach Microwave, Red",1318.38,7,0.0,382.2,107.49
OFF-ST-10003243,Office Supplies,Storage,"Fellowes Folders, Blue",47.52,3,0.4,-2.43,2.41
TEC-SAM-10003538,Technology,Phones,"Samsung Speaker Phone, Full Size",124.53,1,0.0,29.88,20.11
TEC-STA-10003081,Technology,Machines,"StarTech Phone, White",58.344,2,0.6,-27.756,6.32
OFF-FA-10004606,Office Supplies,Fasteners,"Stockwell Staples, 12 Pack",20.46,2,0.0,1.02,7.03
OFF-BI-10002277,Office Supplies,Binders,"Wilson Jones 3-Hole Punch, Recycled",56.7,2,0.0,27.78,19.23
FUR-SAF-10000881,Furniture,Bookcases,"Safco 3-Shelf Cabinet, Metal",67.32,1,0.6,-42.09,5.91
OFF-AR-10001405,Office Supplies,Art,"Binney & Smith Highlighters, Fluorescent",107.1,6,0.0,13.86,14.8
OFF-ST-10000327,Office Supplies,Storage,"Smead Folders, Wire Frame",49.68,3,0.0,6.93,5.31
TEC-CO-10003268,Technology,Copiers,"HP Fax and Copier, Color",348.66,2,0.0,142.92,25.52
OFF-EN-10003391,Office Supplies,Envelopes,"Jiffy Manila Envelope, Set of 50",64.7649,3,0.17,20.2149,2.16
OFF-LA-10001669,Office Supplies,Labels,"Smead Color Coded Labels, Adjustable",43.8,4,0.0,11.28,8.68
FUR-FU-10002298,Furniture,Furnishings,"Rubbermaid ClusterMat Chairmats, Mat Size- 66"" x 60"", Lip 20"" x 11"" -90 Degree Angle",332.94,3,0.0,53.2704,18.55
OFF-STO-10004302,Office Supplies,Fasteners,"Stockwell Paper Clips, Bulk Pack",28.02,2,0.0,8.1,3.92
FUR-TA-10000136,Furniture,Tables,"Chromcraft Conference Table, Adjustable Height",2332.96,5,0.2,349.86,357.79
OFF-AR-10004148,Office Supplies,Art,"Sanford Pens, Easy-Erase",22.74,2,0.0,4.32,2.55
FUR-TA-10004289,Furniture,Tables,BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,765.625,7,0.5,-566.5625,56.87
OFF-BI-10004007,Office Supplies,Binders,"Avery 3-Hole Punch, Durable",88.11,6,0.5,-26.55,12.74
OFF-PA-10001578,Office Supplies,Paper,"Eaton Computer Printout Paper, Multicolor",111.84,4,0.0,41.28,12.6
FUR-TA-10000022,Furniture,Tables,"Hon Conference Table, Adjustable Height",3694.68,4,0.0,886.68,382.77
OFF-SME-10003134,Office Supplies,Storage,"Smead Box, Single Width",6.48,2,0.7,-9.54,1.2
OFF-ROG-10004949,Office Supplies,Storage,"Rogers Shelving, Industrial",62.61,1,0.0,18.78,13.12
OFF-ST-10000661,Office Supplies,Storage,"Tenex Box, Industrial",16.98,1,0.0,2.52,2.19
FUR-BO-10002000,Furniture,Bookcases,"Ikea Classic Bookcase, Metal",2220.534,6,0.1,123.354,166.02
OFF-BI-10000340,Office Supplies,Binders,"Avery Binding Machine, Clear",96.6,2,0.0,9.66,6.2
OFF-PA-10004239,Office Supplies,Paper,Xerox 1953,6.848,2,0.2,2.14,0.93
OFF-ST-10002352,Office Supplies,Storage,Iris Project Case,12.768,2,0.2,0.9576,0.25
FUR-FU-10002709,Furniture,Furnishings,"Advantus Clock, Erganomic",140.028,4,0.3,-58.092,6.83
TEC-MA-10004424,Technology,Machines,"Panasonic Phone, Durable",254.88,3,0.0,40.77,24.31
OFF-PA-10004024,Office Supplies,Paper,"Enermax Memo Slips, Recycled",8.304,1,0.2,1.024,0.84
TEC-LOG-10004917,Technology,Accessories,"Logitech Memory Card, Programmable",104.88,1,0.0,42.99,8.22
TEC-MA-10001447,Technology,Machines,"Konica Phone, Red",55.56,1,0.0,10.0,7.19
OFF-AP-10001623,Office Supplies,Appliances,"Hoover Stove, White",1983.135,7,0.5,-1784.895,473.27
OFF-BI-10000815,Office Supplies,Binders,"Ibico 3-Hole Punch, Durable",63.9,2,0.0,23.64,6.87
FUR-BO-10004699,Furniture,Bookcases,"Dania 3-Shelf Cabinet, Mobile",575.88,4,0.0,0.0,25.47
TEC-CO-10002587,Technology,Copiers,"Sharp Fax and Copier, Laser",168.6,1,0.0,79.23,22.48
OFF-AME-10001641,Office Supplies,Envelopes,"Ames Interoffice Envelope, Recycled",13.176,1,0.7,-11.004,0.83
OFF-AP-10000023,Office Supplies,Appliances,"Breville Toaster, Black",101.52,2,0.0,1.0,8.83
TEC-CO-10004185,Technology,Copiers,"Sharp Personal Copier, High-Speed",78.6424,1,0.002,17.9624,30.95
FUR-CH-10003853,Furniture,Chairs,"Harbour Creations Steel Folding Chair, Red",39.156,1,0.4,-22.844,7.22
OFF-AR-10001030,Office Supplies,Art,"Sanford Markers, Easy-Erase",47.04,2,0.0,17.4,13.05
OFF-EN-10000812,Office Supplies,Envelopes,"GlobeWeis Clasp Envelope, Set of 50",19.8,5,0.4,-2.7,1.68
OFF-PA-10001790,Office Supplies,Paper,Xerox 1910,38.432,1,0.2,13.4512,3.33
TEC-EPS-10003277,Technology,Machines,"Epson Printer, White",261.03,1,0.0,10.44,36.14
OFF-FA-10001128,Office Supplies,Fasteners,"Stockwell Clamps, Bulk Pack",23.076,3,0.4,-3.864,3.24
OFF-FA-10001776,Office Supplies,Fasteners,"Stockwell Rubber Bands, Metal",22.2,2,0.0,5.32,1.36
OFF-ST-10004341,Office Supplies,Storage,"Tenex File Cart, Single Width",536.64,4,0.0,64.32,44.05
OFF-BI-10004809,Office Supplies,Binders,"Acco Binder Covers, Economy",26.64,2,0.0,3.96,3.28
OFF-ST-10004412,Office Supplies,Storage,"Smead Shelving, Wire Frame",32.0,1,0.0,1.6,5.18
OFF-FA-10002393,Office Supplies,Fasteners,"Accos Push Pins, Bulk Pack",14.52,2,0.5,-6.12,0.93
FUR-BO-10000712,Furniture,Bookcases,"Bush Corner Shelving, Pine",250.68,2,0.0,112.8,16.12
OFF-AR-10004362,Office Supplies,Art,"Sanford Canvas, Water Color",28.64,2,0.6,-31.52,2.99
TEC-PH-10002824,Technology,Phones,Jabra SPEAK 410 Multidevice Speakerphone,823.96,5,0.2,51.4975,91.82
TEC-AC-10003063,Technology,Accessories,Micro Innovations USB RF Wireless Keyboard with Mouse,100.0,4,0.0,21.0,7.4
OFF-SU-10001233,Office Supplies,Supplies,"Stiletto Trimmer, Serrated",52.6,2,0.0,10.52,12.67
OFF-FA-10004257,Office Supplies,Fasteners,"Accos Clamps, Metal",52.65,3,0.1,17.55,3.07
OFF-FEL-10002658,Office Supplies,Storage,"Fellowes Shelving, Wire Frame",56.91,1,0.0,23.31,7.54
TEC-AC-10004814,Technology,Accessories,Logitech Illuminated Ultrathin Keyboard with Backlighting,170.97,3,0.0,70.0977,10.51
OFF-LA-10000155,Office Supplies,Labels,"Novimex Round Labels, Alphabetical",9.135,3,0.5,-1.305,1.44
OFF-SME-10000258,Office Supplies,Labels,"Smead Removable Labels, 5000 Label Set",3.15,1,0.7,-3.99,0.33
OFF-PA-10001184,Office Supplies,Paper,Xerox 1903,11.96,2,0.0,5.8604,1.34
OFF-EN-10002911,Office Supplies,Envelopes,"Ames Manila Envelope, with clear poly window",67.752,4,0.4,1.032,6.83
OFF-LA-10000879,Office Supplies,Labels,"Hon File Folder Labels, Alphabetical",33.84,4,0.0,15.48,3.04
TEC-MA-10003557,Technology,Machines,"Panasonic Inkjet, Durable",265.3785,1,0.15,15.5985,1.24
OFF-AP-10000329,Office Supplies,Appliances,"KitchenAid Refrigerator, White",1052.16,3,0.0,0.0,166.26
OFF-SU-10003671,Office Supplies,Supplies,"Fiskars Scissors, High Speed",92.64,4,0.0,16.56,5.59
OFF-EN-10003615,Office Supplies,Envelopes,"GlobeWeis Interoffice Envelope, with clear poly window",205.44,8,0.5,-90.48,13.9
FUR-TA-10001786,Furniture,Tables,"Chromcraft Computer Table, with Bottom Storage",1773.72,5,0.2,44.22,215.0
FUR-OFF-10003688,Furniture,Chairs,"Office Star Rocking Chair, Black",138.48,1,0.0,27.69,10.45
OFF-AR-10002797,Office Supplies,Art,"Sanford Highlighters, Blue",126.0,8,0.0,37.68,11.37
OFF-BI-10001032,Office Supplies,Binders,"Avery Binding Machine, Recycled",209.1,5,0.15,44.25,16.89
OFF-ST-10000872,Office Supplies,Storage,"Fellowes File Cart, Single Width",412.02,6,0.5,-412.02,19.24
TEC-EPS-10002523,Technology,Machines,"Epson Card Printer, White",336.72,2,0.0,90.9,80.34
TEC-MOT-10002260,Technology,Phones,"Motorola Office Telephone, Cordless",179.064,6,0.6,-152.316,11.94
OFF-AR-10002236,Office Supplies,Art,"Stanley Pencil Sharpener, Water Color",67.635,3,0.1,17.955,4.67
OFF-BI-10002627,Office Supplies,Binders,"Avery Binder Covers, Economy",55.35,5,0.0,22.65,3.99
OFF-BI-10001510,Office Supplies,Binders,Deluxe Heavy-Duty Vinyl Round Ring Binder,55.008,3,0.2,17.19,5.02
OFF-PA-10001804,Office Supplies,Paper,Xerox 195,10.688,2,0.2,3.7408,1.07
OFF-PA-10001204,Office Supplies,Paper,Xerox 1972,8.448,2,0.2,2.64,1.29
OFF-AR-10003962,Office Supplies,Art,"Binney & Smith Highlighters, Water Color",72.1605,5,0.27,15.7605,4.19
OFF-LA-10000784,Office Supplies,Labels,"Harbour Creations File Folder Labels, 5000 Label Set",16.416,2,0.1,7.296,0.75
OFF-ST-10000676,Office Supplies,Storage,Fellowes Econo/Stor Drawers,193.86,2,0.0,11.6316,21.38
TEC-PH-10000158,Technology,Phones,"Apple Signal Booster, VoIP",348.687,3,0.15,-20.583,17.46
OFF-PA-10001869,Office Supplies,Paper,"Green Bar Computer Printout Paper, 8.5 x 11",169.5,5,0.0,25.35,8.42
TEC-MA-10004249,Technology,Machines,"Epson Calculator, Durable",93.06,3,0.0,8.34,9.25
TEC-MA-10002226,Technology,Machines,"Epson Phone, Red",117.18,2,0.25,-17.22,22.04
OFF-CAR-10000687,Office Supplies,Binders,"Cardinal Binder Covers, Economy",24.0,2,0.0,0.96,6.03
FUR-FU-10002017,Furniture,Furnishings,"Rubbermaid Door Stop, Duo Pack",219.3,5,0.0,15.3,7.74
FUR-CH-10001891,Furniture,Chairs,Global Deluxe Office Fabric Chairs,230.352,3,0.2,20.1558,87.27
TEC-AC-10000575,Technology,Accessories,"Logitech Keyboard, Programmable",88.74,3,0.4,7.38,6.29
FUR-CH-10001854,Furniture,Chairs,Office Star - Professional Matrix Back Chair with 2-to-1 Synchro Tilt and Mesh Fabric Seat,701.96,2,0.0,168.4704,8.51
OFF-ACC-10004692,Office Supplies,Binders,"Acco 3-Hole Punch, Recycled",121.92,4,0.0,10.92,3.14
OFF-BI-10004240,Office Supplies,Binders,"Cardinal Binding Machine, Recycled",83.2158,2,0.17,29.0358,1.07
FUR-ELD-10003479,Furniture,Furnishings,"Eldon Clock, Durable",214.2,4,0.0,64.2,9.55
OFF-AP-10002017,Office Supplies,Appliances,"Cuisinart Blender, Red",55.6017,1,0.17,0.6417,7.34
FUR-FU-10004245,Furniture,Furnishings,"Career Cubicle Clock, 8 1/4"", Black",60.84,3,0.0,23.1192,3.65
OFF-SU-10000650,Office Supplies,Supplies,"Acme Shears, Steel",246.6,5,0.0,88.65,16.94
OFF-ST-10001335,Office Supplies,Storage,"Rogers File Cart, Single Width",188.84,2,0.0,41.52,17.74
OFF-ST-10004342,Office Supplies,Storage,"Eldon Box, Industrial",14.32,2,0.0,7.0,0.87
FUR-BO-10002981,Furniture,Bookcases,"Bush Floating Shelf Set, Metal",182.112,2,0.2,25.032,50.28
FUR-CH-10000454,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",975.92,4,0.0,292.776,238.51
OFF-SU-10004848,Office Supplies,Supplies,"Kleencut Shears, High Speed",168.372,4,0.1,1.812,10.67
FUR-FU-10000320,Furniture,Furnishings,OIC Stacking Trays,10.02,3,0.0,4.4088,0.76
OFF-AP-10002899,Office Supplies,Appliances,"Breville Toaster, Silver",387.3,5,0.0,19.35,23.63
OFF-HAM-10000983,Office Supplies,Appliances,"Hamilton Beach Refrigerator, White",996.54,2,0.0,318.84,176.43
OFF-AR-10001578,Office Supplies,Art,"Sanford Pencil Sharpener, Fluorescent",51.66,2,0.0,18.06,5.14
